,0,1,2,3,4,5
0,0.5, 18 , 3,https://www.avito.ru/kazan/kvartiry/studiya_18_m_35_et._1896176306,1633000,1 
1,3, 98 , 6,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_98_m_614_et._1902948716,10600000,3 
2,2, 62 , 2,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_62_m_213_et._1883561166,5350000,3 
3,2, 43.3 , 1,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43.3_m_15_et._1901957120,3160000,3
4,2, 44 , 1,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_44_m_16_et._1863786428,3200000,3 
5,1, 35 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35_m_19_et._1946878415,2950000,3
6,3, 75 , 7,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_75_m_710_et._1943183811,6900000,3 
7,1, 32 , 5,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_32_m_55_et._1919552142,2690000,2 
8,1, 42 , 9,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_42_m_916_et._1388589330,4780000,3 
9,4, 89.3 , 9,https://www.avito.ru/kazan/kvartiry/4-k_kvartira_89.3_m_910_et._1856740157,8300000,3 
10,1, 40 , 4,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_40_m_410_et._1932166444,3800000,2 
11,3, 70.3 , 3,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_70.3_m_39_et._1811499006,6300000,3 
12,3, 66 , 5,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_66_m_59_et._1797792443,5150000,3
13,1, 35.7 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35.7_m_15_et._1920036578,2800000,2
14,1, 29 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_29_m_19_et._1881865182,3350000,2
15,3, 97 , 16,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_97_m_1616_et._1409123210,6700000,3
16,2, 58.7 , 8,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_58.7_m_820_et._1849615480,4590000,2 
17,2, 63 , 13,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_63_m_1319_et._1848572895,4650000,2
18,2, 51 , 9,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_51_m_99_et._1850752945,3520000,2 
19,2, 59 , 4,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_59_m_425_et._1920530583,4611000,3 
20,3, 81 , 1,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_81_m_118_et._1826794351,4790000,2
21,1, 20.3 , 5,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_20.3_m_510_et._1921925480,2150000,3
22,1, 41.2 , 15,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_41.2_m_1518_et._1923729326,2590000,1
23,3, 86.8 , 3,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_86.8_m_325_et._1920492474,6683600,3 
24,1, 30.8 , 7,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_30.8_m_719_et._1920839052,2466000,2
25,2, 63 , 16,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_63_m_1620_et._1939936621,5299999,3 
26,1, 35 , 10,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35_m_1019_et._1928097145,2770000,1
27,2, 44 , 3,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_44_m_35_et._1922127659,4650000,3
28,2, 54 , 1,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_54_m_110_et._1846356968,3799000,1
29,1, 19.8 , 7,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_19.8_m_79_et._1923269570,1450000,2 
30,2, 65.2 , 1,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_65.2_m_116_et._1922014401,4350000,2
31,0.5, 20 , 11,https://www.avito.ru/kazan/kvartiry/studiya_20_m_1112_et._1929195281,2370000,1 
32,3, 69 , 1,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_69_m_19_et._1832157602,5000000,3 
33,0.5, 27 , 7,https://www.avito.ru/kazan/kvartiry/studiya_27_m_712_et._1868562472,2900000,1 
34,1, 16 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_16_m_15_et._1887922917,1130000,1
35,3, 90 , 3,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_90_m_310_et._1949577442,7000000,2
36,1, 45 , 5,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_45_m_518_et._1915370978,4350000,2 
37,2, 54 , 11,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_54_m_1122_et._1796699192,5890000,3
38,1, 36.5 , 4,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_36.5_m_49_et._1927324966,3290000,2
39,1, 27.4 , 8,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_27.4_m_89_et._1861168058,2990000,1 
40,1, 36 , 15,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_36_m_1520_et._1927285588,3390000,2
41,0.5, 19.4 , 4,https://www.avito.ru/kazan/kvartiry/studiya_19.4_m_49_et._1926235543,1010000,2
42,2, 54 , 4,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_54_m_410_et._1928310546,4770000,2 
